ticker,sector,sector_etf
AAPL,Technology,XLK
MSFT,Technology,XLK
NVDA,Technology,XLK
AVGO,Technology,XLK
ORCL,Technology,XLK
CRM,Technology,XLK
AMD,Technology,XLK
ADBE,Technology,XLK
QCOM,Technology,XLK
META,Communications,XLC
GOOGL,Communications,XLC
NFLX,Communications,XLC
DIS,Communications,XLC
TMUS,Communications,XLC
JPM,Financials,XLF
BAC,Financials,XLF
WFC,Financials,XLF
GS,Financials,XLF
MS,Financials,XLF
C,Financials,XLF
BLK,Financials,XLF
SCHW,Financials,XLF
SPGI,Financials,XLF
XOM,Energy,XLE
CVX,Energy,XLE
COP,Energy,XLE
EOG,Energy,XLE
SLB,Energy,XLE
LLY,Healthcare,XLV
UNH,Healthcare,XLV
JNJ,Healthcare,XLV
ABBV,Healthcare,XLV
MRK,Healthcare,XLV
PFE,Healthcare,XLV
TMO,Healthcare,XLV
ABT,Healthcare,XLV
ISRG,Healthcare,XLV
COST,Staples,XLP
WMT,Staples,XLP
PG,Staples,XLP
KO,Staples,XLP
PEP,Staples,XLP
PM,Staples,XLP
MO,Staples,XLP
AMZN,Discretionary,XLY
TSLA,Discretionary,XLY
HD,Discretionary,XLY
MCD,Discretionary,XLY
NKE,Discretionary,XLY
LOW,Discretionary,XLY
SBUX,Discretionary,XLY
BKNG,Discretionary,XLY
CAT,Industrials,XLI
GE,Industrials,XLI
HON,Industrials,XLI
UNP,Industrials,XLI
RTX,Industrials,XLI
DE,Industrials,XLI
LMT,Industrials,XLI
BA,Industrials,XLI
LIN,Materials,XLB
SHW,Materials,XLB
APD,Materials,XLB
FCX,Materials,XLB
ECL,Materials,XLB
NEE,Utilities,XLU
SO,Utilities,XLU
DUK,Utilities,XLU
SRE,Utilities,XLU
PLD,RealEstate,XLRE
AMT,RealEstate,XLRE
EQIX,RealEstate,XLRE
PSA,RealEstate,XLRE
WELL,RealEstate,XLRE
